Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge,RA/G,ERA,G,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge,W
4,4.46,162,6016,5437,723,1331,265,23,190,691,79,26,464,1394,0.245,0.31,0.407,0.717,88,131,0.985,29.1,4.96,4.69,162,1,4,39,1421.2,1373,804,741,188,592,1453,1.382,9.2,1.19,88,131,0.985,28.6,77
4,4.75,162,6251,5542,769,1368,268,21,220,734,65,20,586,1276,0.247,0.324,0.422,0.746,92,118,0.984,28.8,5.36,5.12,162,0,2,32,1442.2,1417,868,820,267,576,1404,1.381,8.76,1.67,92,118,0.984,27,72
4,4.45,162,6108,5472,721,1323,249,23,214,690,89,22,514,1300,0.242,0.313,0.413,0.726,76,173,0.987,29.5,4.46,4.15,162,1,9,35,1437.1,1353,722,662,205,546,1386,1.321,8.68,1.28,76,173,0.987,27.5,80
2,4.38,162,6073,5415,710,1314,251,14,186,678,136,44,523,1198,0.243,0.315,0.397,0.712,80,135,0.986,29.9,4.38,4.2,162,1,10,43,1440.2,1373,709,672,224,470,1312,1.279,8.2,1.4,80,135,0.986,29.1,80
4,4.43,162,6041,5431,717,1410,279,20,156,686,73,34,471,991,0.26,0.322,0.405,0.726,97,148,0.983,28.5,4.49,4.28,162,4,12,29,1421.1,1480,727,676,208,498,1136,1.392,7.19,1.32,97,148,0.983,28.4,74
3,4.08,162,5990,5417,661,1331,243,21,176,621,52,34,435,1150,0.246,0.307,0.396,0.702,93,108,0.984,28.7,4.17,3.94,162,2,12,46,1440.2,1355,675,630,166,466,1221,1.264,7.63,1.04,93,108,0.984,28.3,85
1,4.77,162,6285,5652,773,1464,304,31,155,729,81,39,492,1266,0.259,0.322,0.406,0.728,83,127,0.986,29.3,3.89,3.58,162,3,13,46,1482.2,1307,630,590,126,504,1342,1.221,8.15,0.76,83,127,0.986,28.4,98
3,4.52,162,6260,5588,733,1476,270,39,164,696,82,34,523,1221,0.264,0.329,0.414,0.743,112,135,0.981,27.8,4.55,4.23,162,4,12,41,1457.2,1475,737,685,167,533,1200,1.378,7.41,1.03,112,135,0.981,29.1,78
3,4.73,162,6121,5536,767,1518,273,22,187,732,134,33,449,1113,0.274,0.332,0.433,0.764,98,141,0.984,28.7,4.31,4.02,162,6,16,38,1433.1,1339,699,640,186,483,1157,1.271,7.26,1.17,98,141,0.984,30.1,89
2,4.12,162,6088,5513,667,1394,289,34,155,629,135,52,442,1086,0.253,0.313,0.402,0.714,93,157,0.985,28.9,3.91,3.57,162,12,11,39,1465,1388,633,581,142,476,1058,1.272,6.5,0.87,93,157,0.985,28.4,86
3,4.2,162,6089,5488,681,1363,276,19,155,656,104,52,466,1070,0.248,0.311,0.39,0.702,113,116,0.981,29.7,4.33,4.04,162,10,9,39,1449.1,1422,702,651,148,565,1130,1.371,7.02,0.92,113,116,0.981,28.3,80
1,5.45,162,6305,5622,883,1604,293,33,173,841,148,63,547,1054,0.285,0.35,0.441,0.792,85,174,0.986,29.6,4.7,4.45,162,9,13,51,1445,1513,761,715,180,523,1062,1.409,6.61,1.12,85,174,0.986,28.6,97
