Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge,RA/G,ERA,G,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge,W
1,4.91,161,6056,5363,790,1307,269,20,239,762,59,19,549,1453,0.244,0.319,0.435,0.754,71,104,0.988,28.2,4.07,3.88,161,2,18,40,1410.2,1237,656,608,183,516,1417,1.243,9.04,1.17,71,104,0.988,29.5,88
1,5.28,162,6302,5560,855,1432,277,29,249,824,89,28,619,1467,0.258,0.336,0.452,0.789,78,154,0.987,28,4.59,4.19,162,1,8,44,1450.2,1421,743,675,203,548,1393,1.357,8.64,1.26,78,154,0.987,27.5,97
1,4.69,162,6251,5582,759,1433,314,29,175,717,90,36,511,1290,0.257,0.324,0.417,0.742,80,134,0.986,27.4,4.06,3.75,162,2,11,40,1456.2,1236,657,607,153,635,1423,1.284,8.79,0.95,80,134,0.986,27.7,90
3,4.52,162,6216,5584,732,1467,289,26,165,706,77,31,474,1184,0.263,0.326,0.412,0.738,97,137,0.984,28.6,5.07,4.72,162,0,6,36,1441.1,1463,821,756,192,584,1258,1.42,7.86,1.2,97,137,0.984,29.4,72
5,4.03,161,6192,5514,649,1404,295,27,122,615,75,34,502,1240,0.255,0.321,0.384,0.705,101,134,0.983,28.9,4.84,4.51,161,1,9,39,1447.2,1414,779,725,177,547,1227,1.355,7.63,1.1,101,134,0.983,26.4,68
4,3.54,162,6034,5420,573,1361,251,18,100,548,69,33,471,1107,0.251,0.314,0.359,0.674,90,186,0.985,28.8,4.69,4.41,162,3,10,44,1425.1,1462,760,698,170,550,1148,1.412,7.25,1.07,90,186,0.985,26.6,67
2,3.54,162,6064,5468,573,1316,240,22,123,545,95,33,472,1369,0.241,0.305,0.36,0.665,85,143,0.986,26.8,3.69,3.38,162,5,13,54,1455,1369,597,547,121,472,1301,1.265,8.05,0.75,85,143,0.986,27.3,79
1,4.25,162,6133,5441,688,1354,247,21,181,656,64,31,542,1384,0.249,0.321,0.402,0.723,85,141,0.986,26.8,3.38,3.18,162,1,12,53,1450.1,1326,548,512,127,409,1232,1.196,7.65,0.79,85,141,0.986,27.2,96
2,4.32,162,6126,5425,700,1341,263,30,149,660,101,32,567,1289,0.247,0.32,0.389,0.709,86,147,0.986,28.5,3.7,3.42,162,5,16,47,1445.1,1310,600,549,145,464,1232,1.227,7.67,0.9,86,147,0.986,27.6,94
2,3.96,162,6169,5528,641,1345,244,16,173,606,77,44,504,1260,0.243,0.308,0.387,0.695,83,131,0.987,28.9,3.73,3.48,162,3,16,52,1479.2,1332,605,572,125,521,1332,1.252,8.1,0.76,83,131,0.987,28.4,89
